"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"spatial_pd_demographic.nlogo"
"experiment"
"06/07/2024 08:46:32:123 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","agent-maxage","pd-r","histogram-granularity","pd-s","agent-procreation-min-wealth","agent-init-coop-ratio","simulation-steps","pd-t","agent-number","agent-init-random-birth-age","patch-background-color","neighborhood","mutation-rate","agent-init-endowment","pd-p","[step]","count turtles","count cooperators","count defectors"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1030","810","220"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1001","781","220"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1144","899","245"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","910","676","234"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1008","782","226"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","904","734","170"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1261","975","286"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","6","1084","826","258"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1246","978","268"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","796","573","223"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1037","794","243"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1125","884","241"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1056","781","275"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1108","848","260"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1037","818","219"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1466","1158","308"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1243","958","285"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1144","896","248"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1164","897","267"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1272","1040","232"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1380","1077","303"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1604","1281","323"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1332","1071","261"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1316","1064","252"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1554","1242","312"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1359","1073","286"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1248","989","259"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1016","751","265"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1597","1220","377"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1646","1325","321"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1313","1021","292"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1569","1233","336"
"24","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","7","1424","1102","322"
"14","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1622","1270","352"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1453","1138","315"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1401","1094","307"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1682","1333","349"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1301","967","334"
"10","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1230","968","262"
"21","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1411","1120","291"
"13","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1688","1383","305"
"7","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1484","1140","344"
"3","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1875","1480","395"
"2","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1740","1380","360"
"18","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1494","1168","326"
"20","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1250","928","322"
"4","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1525","1212","313"
"22","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1602","1281","321"
"5","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1681","1314","367"
"9","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1729","1405","324"
"8","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1844","1416","428"
"23","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1908","1491","417"
"12","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","8","1937","1548","389"
"11","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1858","1458","400"
"17","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1745","1390","355"
"16","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1592","1239","353"
"6","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1511","1129","382"
"19","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","10","1862","1457","405"
"15","100","5","10","-6","10","0.5","500","6","280","true","white","Moore","0","6","-5","9","1739","1338","401"
